Q01_Best part	Q02_Worst part	Q03_Time
Learning Pandas &amp; Numpy libraries as knowledge in them can be beneficial in the future (outside the course as well)	Theory behind eigenvalues and eigenvectors as these were something I was not previously familiar with.	2 : 1-5 hours
Very good introduction, although the exercises could have been more challenging. I would say the best part of the round was the overall hands-on experience with Jupyter. None of the parts specifically stood out, since they were quite similar and all very short.	I would say the "worst" part was how easy the assignments were. I understand that this was the introduction, but it would have been nice with more exercises or a challenge part of some sort. The questions were good.	3 : 6-10 Hours
Finding the eigenvalues and eigenvectors and plotting them. It was a concrete task and I learned some new Numpy functions.	The lecture slides have some questions (e.g. size of the hypothesis space). It would be cool to have the answers to these questions in some form even if do not attend the lectures.	3 : 6-10 Hours
Outlining of the basic pieces of machine learning and describing what ML is all about, was done well here in the beginning. Gave good foundation to build the rest of the knowledge pyramid.	0	4 : 10-20 hours
Book turned out to be great read. Good material is always worth it	Jupyterhub is a little laggy and really is not match to modern editors when learning new coding related stuff. 	2 : 1-5 hours
It is long since I coded python or worked with matrices, so I liked the very first task 0 task the best.	'I think it was not nice to try to find typos from the book. I think it doesn''t test really anything.'	3 : 6-10 Hours
Eigenvectors, refreshing memory of eigenvalues and eigenvectors.	Question 2 of the excercises was extremely frustrating to think about. Figuring the correct answer to that problem took more time than the rest of the whole exercise for some reason	3 : 6-10 Hours
This round was very good introduction to machine learning, especially the introduction chapter in the course book, since it explains the basics how machine learning works in principle.	All the exercises were good introduction in my opinion. For the worst part, I would choose that there was a small lack of information for me what types of questions the Quiz would contain (questions about the jupyter exercises and general questions). But now that I know the contents, it is no longer unclear.	3 : 6-10 Hours
The exercises were appropriate in difficulty and length, however picking a favorite is difficult.	Some of the specific functions that had to be used (for example plotting the eigenvectors) were difficult to find and in the future some more information could be given on how to approach a problem.&nbsp;	4 : 10-20 hours
'The task 2 in the coding exercise was the best part. The exercise was easy to understand. And anyway, it is nice that you give some ground to the python exercises that one doesn''t need to do everything from the very beginning (if one have only basics skills of Python). I learned a lot during the first round with the examples and base codings you had done. '	'The Quiz included a question related to an invertible matrix. I was quite lost in that part and the book or lecture didn''t say anything about it. '	4 : 10-20 hours
third	second	3 : 6-10 Hours
'The best part was applying the theory with the hands-on exercises (python coding assignment). Theory is on thing - it''s easy to pretend to yourself that you understand it - but applying the theory by doing the assignment really forces you to understand what you are doing. It would be nice, though, if there would be some checks implemented in the coding assignments to verify you are doing things correctly (I believe this is at least partially done in round 2 [and of course any questions would be answered in the exercise garages as well, although I am primarily doing this course remotely])And thanks, by the way, for the webcast - much appreciated as it saves me from going to Otaniemi for just this course.'	My understanding of matrix and vector theory is somewhat limited, so following the theory is sometimes not so easy	3 : 6-10 Hours
Course book chapter 2.Nice introduction to the subject, clear definitions of the parts of the ML problem.Also good examples.	The first 2 exercises were maybe too easy.	2 : 1-5 hours
Labels because I am dabbling with semisupervised learning in my thesis which also serves as the basis for my knowledge related to this topic and whatnot.	No complaints as of yet seeing as this is just the beginning	1 : less than 1 hour
The exercise with the gradient drawing, it applied the use of eigenvectors which was interesting.	The loss function because I think I did not quite get it.	3 : 6-10 Hours
'Task 3 eigenvectors - the math is important, it''s what I want to learn more.'	Task 1, because it was so easy. On the other hand, it is good that people that are not familiar with Python can start off with something that is not so difficult.	3 : 6-10 Hours
I liked the coding exercise a lot. It was practical and very motivating. I liked the guidance.	'Well nothing was bad. Of course my mood was the worst when I didn''t know the answers to matrix theory related questions. I realized that I need to study that more.'	4 : 10-20 hours
The exercises were nice and taught numpy and matplotlib nicely.	'In the quiz, I was not quite sure where I should''ve found out the answers to the first few questions about the matrices.'	3 : 6-10 Hours
'Task 2: Introduction to Pandas was clear and helpful for someone such as me who hasn''t used it before. Interesting analytical possibilities. In addition, definition of ML problems was really well explained during the lectures'	The eigen vector exercise (task 3) was a bit unclear and it was relatively difficult to find adequate help online and from the materials. Probably it will become clearer with sufficient trainint. Now it was partly my own schedule that made understanding difficult. 	4 : 10-20 hours
'I think all the topics were explained extremely well with excellent examples and all these topics are crucial in understanding machine learning, there''s no worst or best.'	'I think all the topics were explained extremely well with excellent examples and all these topics are crucial in understanding machine learning, there''s no worst or best.'	3 : 6-10 Hours
I especially liked the last task of the programming exercises. It was a welcome reminder of the connection between the eigenvectors of a covariance matrix and the principal components of the data matrix.	I disliked the fact that I had to browse through the documentations of multiple different python libraries. I understand that it is a necessary step to learn the tools used on this course but I do a lot of that already and sometimes it gets a bit boring to learn new (but very similar) tools again and again. Perhaps some kind of cheat sheet with the necessary information could be provided on the mycourses page?	2 : 1-5 hours
The quiz	Loss function	4 : 10-20 hours
The programming exercises in general were the best part. The round was a great way to learn basic Python functions and the exercises were organised well.	The "typo" questions in the quiz were unnecessary. If you want someone to check the book for mistakes, I would find new place to do this. Having such questions in a quiz which is evaluated was confusing.	3 : 6-10 Hours
'Honestly, plotting with pyplot and pandas. I''ve done this very little, but still a skill many employers require. Good to get some exercise on that.As for the material, the concept of hypothesis space intrigued me. I suppose we will spend some time working on different types of predictors and classifiers, which is also useful for common mathematical knowhow.'	Nothing really. The quiz was ok too (except that I got tricked into picking only one eigenvector matrix when there are in fact three with some prefactor, so I had to sift through all other questions again). 	3 : 6-10 Hours
I liked the lecture containing the concrete example of the "apple app". It helped in understanding the concepts introduced in the course so far.	Having quiz questions related to the programming assignments does not seem to serve any purpose. It think it would be better to have the programming assignments just graded with test automation/some TA work (as in almost all other courses having programming assignments) and have the quizzes containing only questions related to theory regarding the subject.&nbsp;	3 : 6-10 Hours
I liked how I learned to draw functions and derivates with pyplot in the exercises.	The vector drawing. There was no practice with drawing them so it took a long time to get them.	2 : 1-5 hours
All the exercises were pretty good warmup for the course. The basic things learnt were not so new to me so hard to evaluate which was the best part, but I like learning in practice, so the exercises were the best so far.	The matrix mathematics in the questionnaires. Required work to be done outside the course materials, but not so big of a problem. 	4 : 10-20 hours
'The Python notebook worked well and gives detailed instructions. It''s nice not to have to download any dependencies or files.'	'The online quiz layout is terrible. The radio buttons for the images do not correspond to image (at least to me). For instance, the radio button (a,b,c,d) appears after the image, so for several questions I chose the wrong button! The images could be lined up next to each other with the correct radio button below each.Furthermore the instructions are not very clear in some cases, or they are in a location where it''s not easy to read. Question 13 and Question 15 seemed strange too.The instructions for the re-attempts are not clear; to me, it meant that once I submit there are two more opportunities to submit again.'	2 : 1-5 hours
Coding part was the best. It is nice when we can practically use those tools that we have learned at lectures.	Questions that have multiple choise answers and where the answers have just small nuance differences. They are just insignificant trifles and do not give much learning experience.	2 : 1-5 hours
Hypothesis space. This might be a biased estimate because I find that concept exciting - looking forward to learning more about what are factors that actually define the hypothesis space that can be reached (perhaps&nbsp; selection of loss function, optimization algorithm and more).	Features. Somehow I felt at times a bit lost in the discussion on features. I think I got it in the end (and because of previous experience) but felt the examples presented in the material were a bit hard to understand. Perhaps because I felt some of them were completely synthetic, ie. not something one would do in real life.	3 : 6-10 Hours
Overall as an introduction round, it was great to include already the basic functionalities, as plotting and reading from a file, neither of which was covered in basic Python course	'First exercise included derivation, and for me it wasn''t clear whether or not it is meant to be done via some python library, or to derivate by hand. It took me quite a long time to try out different possible functionalities. Guess that derivation wasn''t in the main focus of the exercise.'	4 : 10-20 hours
The Features and labels were explained very in detail and with many examples which helped to understand the consepts.	I found hard to grasp the idea of Loss function choosing on more of why this particular function is better than the other and what differences they would have if implemented on the same ML problem.	3 : 6-10 Hours
The coding exercises where fun because you yourself can get some concrete examples of how things work.	'The exercises where we where supposed to find typos wasn''t that great, it takes your focus away from reading and understanding the material to simply trying to find typos.'	2 : 1-5 hours
The idea that ML is essentially iteratively choosing&nbsp; an optimal hypothesis from a theoretically huge hypothesis space. This embodies " learning " so well.	I could not understand why the exponential function in "plotting" exercise of the coding assignment was already done. Also it is not clear what the question within limits [-6,6] means	3 : 6-10 Hours
Exercise 7. was interesting to code.	Typo reporting exercises.	3 : 6-10 Hours
'I think that the topics were laid out in the course book very well. One specific matter that I enjoyed reading about was in 2.2, about how the size choice for hypothesis space H affects the success of the overall design of the ML problem. I.e., even selecting an H that maps every 512x512 pixels'' BW-values to a binary label (towards/away) would yield an unreal number of hypotheses. Something to really think about.To me, the most important quality of a book (or course book) is that it gets you excited about the subject, and I think that this one definitely does it.'	'I was maybe expecting for the first notebook to share a bit more of the great context laid out in the course book''s chapters 1-2. However, I do see the point of giving introductions to doing some basic matrix operations in python, as the notebook did.'	4 : 10-20 hours
The programming assingment, although I think it was a bit too easy even for a first round assignment.&nbsp;	The quiz questions regarding the programming assignment seemed totally useless to me, since we already answer them in the assignment itself??	2 : 1-5 hours
-0	-0	3 : 6-10 Hours
Task 3. I learned how to use of the numpy tools, which I found helpful. I imagine that numpy will be useful in the near future	Question number 2. I could not really find the answer to this question from the course material. Had to search the web to find the answer.	3 : 6-10 Hours
It was good that the exercises taught basic numpy and matplotlib. They will certainly be useful later.	The quiz was a bit frustrating as in re-attempts you had to re-select the answers that already went correct. Also. the question about eigenvectors obtained in the programming exercise was a bit of a trick question.	2 : 1-5 hours
The concept of hypothesis spaces was an excellent introduction: I believe it will work as a platform to connect the upcoming concepts as ways to traverse it in most efficient way for each problem.	I was going to write about the ambiguity of the label&nbsp;question in the quiz but decided the difference is far too pedantic and philosophical. I might come talk about it after some lecture. Overall, the course seems exquisitely organized.	2 : 1-5 hours
I like the fact that there was an extended explanation about the importance of machine learning, as it makes pupils more motivated.	The excercises has little to no example code, which makes learning to use the packages a little bit hard,	2 : 1-5 hours
'python notebook is a good idea, though I don''t understand what the ''submit'' button represents.'	None.	3 : 6-10 Hours
The course material had a good and comprehensive explanation of hypothesis space which helped to understand what is meant by it and what is it used for. This I was most confused about after the first lecture but understood it after reading.	'Worst was perhaps the coding assignments. I was already familiar with numpy and matplotlib so there wasn''t much to learn from those simplest assignments.'	3 : 6-10 Hours
Explanation of the required terms was good.	Explaining Loss function and Hypothesis Space was a bit confusing. For example, I think taking derivative of the cost function is far from being a simple&nbsp;thing (https://math.stackexchange.com/questions/70728/partial-derivative-in-gradient-descent-for-two-variables). So instead of just saying that this is prerequisite,&nbsp;I would maybe devote some time on explaining how it is actually done.&nbsp;	2 : 1-5 hours
Description of ML problem (in lecture slides), describes what machine learning is in a nice short, yet accurate way	Quizz of exercises feels a bit stupid as it means kind of double work to fill in your answers. Obviously a better way would be an automated checking on jupyterhub notebook but I understand it would require a lot of work from course staff	3 : 6-10 Hours
Task 3 - Eigenvectors. The task elaborated in practise how the eigenvectors function	Task 2 as it took me a lot of time to figure out the syntax needed to complete the task	4 : 10-20 hours
Best&nbsp; part was loss functions. They were most interesting.&nbsp;	'Background questions, i.e. the second question was not taught in lecture or book. I still don''t get it.'	4 : 10-20 hours
Coding exercises, especially the third one. It was a good refresher on Python and Numpy after a bit of a break over the summer.	'This is a really minor thing, but I''m personally not a huge fan of coding exercises with prewritten code. Obviously not a huge factor here with so little code, but with longer assignments I feel it''s better to start from scratch so the code is uniform and I have the freedom to code each part as I like.'	2 : 1-5 hours
Programming task 2 was a good reminder on how to use numpy / python.	Hard to pick worst part yet since this really felt like a warmup round. If I have to pick maybe reading the course book can be a bit tedious. 	3 : 6-10 Hours
'I generally found the whole concept of machine learning interesting. It''s a departure from the traditional way of programming.'	'Can''t think of any.'	2 : 1-5 hours
All the exercises were good. They were easy to understand and implement. I particularly liked the exercise on eigenvectors and eigenvalues as they helped recall some of the main concepts of linear algebra. 	I did not find any particular exercise to be the worst.&nbsp;	3 : 6-10 Hours
Best part was Exercise 3. It was a good refresher on matrix algebra (not necessarily my strongest area) and also nicely illustrated the concept of eigenvalues and eigenvectors.	'I don''t think there was any worst part in the exercise. What was a bit annoying that in the quiz there were questions about matrix algebra which required some further looking into. This didn''t have an effect on my score and it was also announced that people should brush up their matrix algebra. Still, it would have been nice to know that there will be matrix algebra related questions in the quiz.'	3 : 6-10 Hours
This was a good introduction round to get the course started. Also I know the applications of the machine learning better now.	'There wasn''t any bad things in this round but I didn''t quite understand that are the coding exercises provided going to be graded or are they just exercises to practise and the quiz is the only thing to be graded? Since there was questions about the coding exercises int he quiz so I was just wondering...'	3 : 6-10 Hours
programming is always nice, although there was a bit of interpretations in the directions (which variable to which axis in plot etc)	It was just basics, so nothing too bad. Maybe there is something worse next round? :)	4 : 10-20 hours
The assignment in which we were required to plot the eigenvectors. I think visual explanations of mathematic concepts are always helpful in understanding them. Maybe some explanation regarding the direction and magnitude of the eigenvectors might have also been useful.	Maybe the fact that you are still using numpy.matrix even though it is deprecated in the documentation ;)	3 : 6-10 Hours
The plotting of the datasets and eigenvalues was a good recap. I learn how to compute the eigenvalues in python.	The plotting of the eigenvalue vectors. The documentation for plotting of vectors on top of a graph was really bad and it was hard to find good examples and understand how it works.	4 : 10-20 hours
It was good to see how pandas works, because I have not used it earlier. It was nice to go trough eigenvectors and values as well.	Did not find anything bad about the exercises. Basic good information.	2 : 1-5 hours
Practical examples in the course book	The coding assignment	2 : 1-5 hours
In the lectures, very good explanations for the hypothesis space and the loss function were given. I have taken one online ML course before but these aspects remained a bit blurry for me.	'None. Sorry, couldn''t think of any.'	3 : 6-10 Hours
'missed this particular exercise, can''t really say.'	'missed this particular exercise, can''t really say.'	1 : less than 1 hour
The part that made me thing was questions about invertible positivie semidefinite matrix and question about size of the hypothesis.Questions about eigen vectors was also tricky. I forgot that you can scale eigen vectors ans they still remain eigen vectors	In exercises were one had to select correct plot ir was easy to select wrong plot by mistake becouse how tcks are positioned. Appart from that are exercises seemed appropriate. 	3 : 6-10 Hours
Exercises 2 and 3 were good and gave a good insight to the python "toolbox", the book was nice for explaining labels.	'Task 1 was maybe the most unnecessary part of this round but it''s still useful for learning. Worst part was maybe to have to google all the ready functions in Python'	4 : 10-20 hours
JupyterHub was really easy and convenient to use, also the exercises gave a good and fun introduction to the needed tools.	The linear algebra trivia questions, looking up random facts is always tedious.	3 : 6-10 Hours
The Jupyter exercises as a whole were good. I look forward to more of them.	No bad parts.	2 : 1-5 hours
I thought the whole round was quite interesting. The most interesting part would have to be the featurespace/hypothesisspace/loss functions, because they demand the most thought process from the developer.	'Can''t say which is the worst part, but the least interesting part would be the linear algebra, even though it is a necessary part of machine learning, because it''s just raw math before it is given context in which to use i.e. math without a real-life function.'	2 : 1-5 hours
I liked all the topics in this round.	worst part of the round was the question 2 in the quiz. i have completed the matrix course but still i was not able to answer the question	3 : 6-10 Hours
Lectures on web!Clear book and manageable amount to read and understand the content per week.Clear step by step style of the&nbsp;programming assignments - almost started to like math&amp;python.	One hour time limit of questionaire and impossibility to do them side by side with reading/programming.&nbsp; Briefly: just hated this form.	4 : 10-20 hours
Task 2. Files. The instructions were very clear.	Task 3. Eigenvectors. The instructions could have been maybe a bit better.	4 : 10-20 hours
I liked to learn about the basic principles of machine learning (features, labels etc.) because I had no previous experiment with machine learning. 	'I didn''t like the first exercise in jupyterhub. It had nothing to do with the exercise exactly but it was hard to get the hang of numpy etc (I have used Python before but I have not used this kinds of packages etc.) After finishing the exercises, they seem a bit more familiar.'	2 : 1-5 hours
'Task 3 was perhaps the best, or at least for me the most learning exercise. This is because linear algebra is not my strongest area, it''s always good to remind myself of these things. This is also the first time that I have seen the eigenvectors drawn on top of a figure, and they made much more sense this way! '	Perhaps the hypothesis space and that question on the quiz. In the book it says that hypothesis space is normally a small subset of all possible ways. How answer correctly to how large of the hypothesis space is, if the size depends on what subset you choose?	4 : 10-20 hours
'I like that you don''t need to return the code, but it was tested with the pictures that did I even do the coding.'	'The time limit. It stressed me. The round would be as pedagogical without the time limit. Even better I think, ''cause you could pause and think something for even over the night. Now you have to stress of the time limit (though as it turned out, I stressed for nothing). But I will stress it again. It''s not nice.'	2 : 1-5 hours
The eigenvector decomposition was cool and illustrative	-0	3 : 6-10 Hours
I liked all the exercises, they were nice smooth start.	In a way the course started from too basic things.	3 : 6-10 Hours
Matrix questions, because I was in need of training.	There was no real worst part on this round. I found everything from the course material, lectures and questions to be good quality.	4 : 10-20 hours
Phyton notebooks, such an easy way to get started.	Well some descriptions in the python exercises were a bit two-sided, and required some interpretation.&nbsp;	2 : 1-5 hours
The loss function and empirical risk chapter was the best part	The first exercise was no exercise at all	2 : 1-5 hours
I liked the exercise number 3 the most. It helped me recall the concepts of eigenvalues and eigenvectors. Additionally, the produced scatter plot in exercise 3 illustrated the eigenvectors very well. The exercise had a good sum up about the basic functions of numpy and pyplot.	The worst part was maybe Task 1. There could have been a short list of useful functions of pyplot as a hint to students. This was a minor minus, though, because it was easy to find the right functions to use.	3 : 6-10 Hours
The combination of the exercises and the quiz was really smart. The difficulty level of the exercises was in the correct range.&nbsp;	The introduction of feature vectors was not sufficient. I am having a hard time understanding the concept.	3 : 6-10 Hours
I considered the plotting of the derived function the best part, due to it showcasing functions for Python, and how the syntax in general works for it	Plotting vectors, due to the methods of Python for this being quite poor&nbsp;	3 : 6-10 Hours
I Liked the jupyter excercises, especially using the plot function	I Disliked reading the course book, I have always disliked theoretical function examples.	3 : 6-10 Hours
The first plotting exercise provided a simple and useful introduction to using the numPy and matplotlib.pyplot packages in computing and plotting data.	The eigenvector task seemed to be a bit hard to approach due to being quite math heavy for an introductory round, particularly computing the covariance matrix.	2 : 1-5 hours
I liked the coding assignment because i could get familiar with python (no prior knowledge) 	Nothing really	3 : 6-10 Hours
'Lecture recordings, because I don''t have to be at certain time at school to attend the lecture and I can revisit the topics of the lecture that weren''t so clear at the first time.'	'Math isn''t my strongest feature, so maybe those parts.&nbsp;'	2 : 1-5 hours
The second exercise of round 1 is best part. It demands of me to refresh my skills in python and learn how to use jupyter notebook. Also, it was fun to draw different segments of the data in different colors.	'Honestly, the worst part of the round is the necessity to use jupyter notebook. I like to do homework on school computers, and I must find a computer that has jupyter notebook installed. Therefore, it requires of me to move to a place where I usually don''t do homework.'	2 : 1-5 hours
I love coding!	I dunno	2 : 1-5 hours
Examples that were used were good (in the course book) and helped to get understanding of the fairly abstract concepts such as feature and hypothesis spaces.	I did not find the python notebook useful: topics were elementary and probably familiar for large portion of the students	2 : 1-5 hours
Calculating and visualizing eigenvalues. It shows clearly that the main component of the data can be interpreted from those.	Finding typos from the book. It left me wondering how is it graded and if it does not affect the grade, it would be nice to say.	3 : 6-10 Hours
No comment, because I am already familiar with the very basics.	'Randomizing the order of selections in the quiz makes it difficult to fix any mistakes in a previous submission, and easily causes new carelesness mistakes while doing so. On the other hand, mere order randomization doesn''t prevent cheating. Therefore I would appreciate it, if randomization would be disabled, or better yet, it would be possible to edit previous answers.Having to switch between MyCourses, JupyterHub, and the course book feels inconvenient. In my opinion it would be nicer for the student if the course book was hosted in a learning management system like A+, which allows having quizzes and programming exercises mixed within the material.Many questions in the quiz felt like I could just as well have answered them by reasoning about what the answer must look like. This makes me feel like my work was slightly in vain.'	2 : 1-5 hours
Shazam example on lecture "How to Specify A Machine Learning Problem?". Real life example that is still simple and really useful.	Had some troubles and hiccups with using online jupyter and would have been nice to have guide how to run it locally. 	4 : 10-20 hours
I think the task 2 was the best one since it taught basic python skills and also some useful syntax and skills.	The first questions of the quiz where somewhat strange and I did not understand how those relate to what we have done during this week.	2 : 1-5 hours
in python notebook, Plotting the eigenvectors of a cov matrix on scatterplot. It gives such a good example on what eigevectors are. This i math basics, but important.	in python notebook, Getting scatterplots of different data frames in same plot with different colors. Took longer thatn it should.It is confusing to use both matplotlib and pandas, albeit pandas uses matplotlib. Getting used to figures takes time.	2 : 1-5 hours
Plotting was quite nice, as you get to visualise the given data and manipulate the said data further on and see how the actions you take affect the data.	I hopped into the course quite late and missed the first lectures and so I was a bit rushed to go through all the exercises and reading through the material.	3 : 6-10 Hours
The&nbsp;Bitcoin and Ethereum example was nice since it gave a concrete example, using the terms that were taught to us during this round.	Sometimes I got confused about the hypothesis space definitions in the course book.	3 : 6-10 Hours
The programming assignment 3 (Eigenvectors), as doing it taught me the most about working with numpy and matplotlib, and made me revise some linear algebra concepts.	In the quiz the questions about typos found in the book should perhaps be moved to this feedback form. It is easier to answer such questions without a time limit (although one hour was quite generous), and I was unsure if I should post the same comment again when re-taking the quiz to fix some dumb mistakes. Not a big deal, just a tiny annoyance. :)	3 : 6-10 Hours
The label-topic was interesting and was represented relatively clearly.	Hypothesis space is still a bit unclear, but I guess it will be described more precisely later on.	4 : 10-20 hours
I liked the exercises. They&nbsp;effectively taught how to use numpy and matplotlib and I think that this information will be helpful in the future.	I disliked the time limit on the quiz. Especially because you can try the quiz three times it seems really pointless.	3 : 6-10 Hours
Task 2. It seemed most useful.	'The last task. I didn''t get it right,.'	2 : 1-5 hours
Hypothesis space was clearly defined.	Loss functions were defined well, but at some points, such as with gradient descent, from slides is not clear if f is loss function or the hypothesis. More definitions visible, please!	2 : 1-5 hours
'Task 3, eigenvectors. I''ve learned about them in math courses, but never really understood what they are - having them visualised on the plotted data really helped me understand what they describe.&nbsp;'	'Task 3, eigenvectors - it was the best exercise, but also the worst. There''s a matrix that needs to be transposed, it took a long time to figure that out.&nbsp;'	3 : 6-10 Hours
The idea that with machine learning, we are attempting to find a good estimate for a function that describes the mapping between the input and the output. It made things (that I have previously struggled to understand) click for me.	'The invertibility question amongst the first questions in the quiz really surprised me. Maybe I missed some connection between it and the things that were explained, but I could not figure it out, nor did I even know that I should''ve prepared for it.'	2 : 1-5 hours
I enjoy the Jupyter Notebook format of the exercises.	The quiz. Doing it was mostly just switching between my Jupyter Notebook and the quiz tab. I get that it makes your job easier, but it still felt lazy to me.	2 : 1-5 hours
The questions related to basic linear algebra/matrix operations. The questions were clear and simple, but challenging enough so that I had to recap a few basic concepts.	-0	2 : 1-5 hours
Formulating a machine learning problem, because it helps to express something complex in mathematical terms and make predictions.	I do not have sufficient background in mathematics. Therefore, some concepts seem challenging to understand.	3 : 6-10 Hours
I understood the ideas behind each concept very well, especially with some prerequisites in Statistics. Maybe if the explanations behind the math were a bit more intuitive for people with weak mathematical background.&nbsp;	eigenvectors. Maybe a brief description of what it is used for in the course might help	5 : more than 20 hours
Calculating eigen values and vectors with python, because this was the first challenging/new assignment for me this week	the quizz questions with matrices and multiple choice answers, they always confuse me	2 : 1-5 hours
I liked much the Python exercises. They were not too hard and the exercises gave recap of fundamental statistical and programming skills.	Some parts in the quiz. For example, question 11 was misleading "Which one of the following matrices *contains* eigenvectors –– in its columns?". But overall, I found the quiz very educational and useful. Much more efficient than traditional pen and paper exercises/exams.	3 : 6-10 Hours
I like plotting the most, as I can see clearly my results and how the data behaves. Also, it helps remeber how to create a function.I dislkie the eignevecto	I dislike the eigenvector part the most because it is not as clear as I thought it should be (as in how it will relates to creating a mchine learning model)	4 : 10-20 hours
Aihe on kiinnostava	Matriisilaskennan suuri määrä	3 : 6-10 Hours
For me, the best part was understanding how to formulate ML problems mathematically in general. It was rewarding to see how ML works, although only on a high level of description.	I think it was not so clear how all of the linear algebra relates to machine learning. The relation could be explained more.	3 : 6-10 Hours
Features and label were explained in a easy to understand manner	The lecture notes were kind of messy, some text was hard to read. Watching them with the lecture video helped but still.	3 : 6-10 Hours
Task 3	-0	2 : 1-5 hours
The Quiz, as it forced really to think bout the topics.	Some of the questions about the properties of matrices, a little heads up would have been necessary and maybe a link to some material where to find the proper answers.	3 : 6-10 Hours
'Task 3. Here we start to get real hands on, but it''s very good to also cover the basics first and not just dive straight in assuming we know this that and the other ...like many other courses do.'	'Typo quizzes. Maybe it was announced somewhere to expect these, maybe not? Not likely you remember anything if you are not prepared. And even if you are... in a time limited quiz setting this will get the lowest priority, as it doesn''t render any points, which is fine.I spotted some typos in "the first week", but can''t even remember in what courses they were. Now I have seen a couple in the text book material for round 2.'	4 : 10-20 hours
Task 2 of the python notebook. It provided a nice reminder that data is not always grouped into one neat correlation.	'Task 1 of the python notebook. It wasn''t bad, but out of all the exercises it was the least good, since it didn''t really seem to provide anything useful.'	2 : 1-5 hours
Loss functions were explained very clearly and comprehensively! Previously, I thought that they are always based on the empirical missclassification error (classification tasks), but the other functions fleshed out how loss functions work pretty well.	'1. I would have needed a short reminder about matrix calculus before jumping into the exercises as the text book didn''t talk about them to the extent that the exercises required. After studying them myself now, I think I will do fine, though.&nbsp;2. The picture quizzes. I am not sure, if you can do anything about it, but sometimes the checkbox referred to the answer on top of the checkbox and sometimes to below the checkbox. It was a bit annoying to always double check to what picture the checkbox referred to.'	3 : 6-10 Hours
The examples from industry. It gave some context to the theory to start off the course.	'Numpy is rather awkward to work with. It is hard to understand its logic to such an extent that you don''t need to google up every single operation you want to do.'	3 : 6-10 Hours
'I liked the last part of the python exercise, since it was a practical application/refresher of linear algebra that I''d forgotten most of after the freshman year.'	'I hoped we''d get to linear regressions already, so the contents of the exercise round was a bit of a letdown.'	2 : 1-5 hours
The python exercises, practical work is an effective learning method for me.	Math related questions, probably just personal preference since	2 : 1-5 hours
The best part was plotting. Such simple first task was nice.	'Closing time 5.59pm. There is anyway a lot of work from other courses too so why won''t just let quiz be open until Sunday.'	2 : 1-5 hours
I thought that the explanation of the structure of a machine learning problem was fantastic. The course book had a clear structure explaining it and also offered a good example.	No major flaws. In the jupyter notebooks the instructions for the task are a little bit different on exercise description and on the comments in the code.	2 : 1-5 hours
Jupyter notebooks and coding	'Math, but that''s just that it is hard'	4 : 10-20 hours
In this round, the most useful exercise was Task 2. It was a good exercise to practice handling numpy&nbsp;arrays.	Task 1: Plotting was the worst part. It was difficult to find means to compute the derivative with numpy.	2 : 1-5 hours
'I''ve heard about logistic regression a lot in the past year so it was fun that I finally am in a course where it''s taught!'	'No topics really, maybe that I didn''t click all the right answers in the quz.'	2 : 1-5 hours
i liked python notebooks	finding typos	2 : 1-5 hours
Hands on exercises with the data and functions.	Lot of misconfusion with the variables in the exercise (e.g. changing between y&lt;-&gt;Y).	4 : 10-20 hours
The exercise 1was very straightforward to implement, and it also paved way for doing the other two exercises as well.	'Normalisation/scaling (page 12 on the course book ''Machine Learning: Basic Principles''), I had an issue in understanding what the equation (1) stands for literally.'	4 : 10-20 hours
I think task 3 is the best part because it was helpful learning how to calculate the eigenvalues and eigenvectors for the exercises in the following rounds.	There is not really any worst part. The simplest one which could possibly be removed is the task 2.	1 : less than 1 hour
-0	-0	3 : 6-10 Hours
Reading the course book. It is well written.	I did not enjoy online JupyterHub. I ended to use local Jupyter notebook.	4 : 10-20 hours
Examples using Rumba the robot were clear and very understandable.	The explanation of hypothesis space and why it has to be represented as a space in the first space.	3 : 6-10 Hours
The example showing cryptocurrencies was the best part for me. This example showed a practical approach to design a feature and a label and gave a hint of how to deal with these data afterwards.	'The term hypothesis ''space'' was hard to accept and understand for me. Why is it called ''space'' instead of ''algorithm'' or ''logic'' or else?'	4 : 10-20 hours
'It''s nice to get some practice with matrices since I''m not that great at them.'	'I don''t have any complaints.'	2 : 1-5 hours
The last coding assignment was a good reminder to me, what eigenvectors are.	Nothing to me about this round stands out as bad.	2 : 1-5 hours
Python exercises were nice! I enjoyed doing them and they were easy enough! JupyterHub is very easy to use.	Reading through material was interesting but i do not like reading materials so I think that was the worst part.	3 : 6-10 Hours
exercises were simple and it was easy to get help in garages.	'Some fast recap how matrices work would have been more helpful because I don''t really remember.'	3 : 6-10 Hours
Plotting and linear algebra assignments simply because they are something I am interested in.	I found some concepts like labels, features and hypothesis space hard to understand at first because I find that the names dont really reflect what they are and they are represented in a quite a complicated way in the book.	4 : 10-20 hours
Task 3. eigenvectors - It just felt so great when i finally managed to plot eigenvectors starting from zero and i got those vectors scaled by eigenvalues :)	Idk. Maybe the part where i stumbled with not knowing that i have to tranpose the matrix before it can be used in the cov-function.	3 : 6-10 Hours
The best part was the Jupyter Notebook, as the question were well made, were neither too hand-holding nor too crazy hard.	'Maybe the reading part. The text is very technical and some of the concepts are a bit cryptic at this point. Maybe it''s just my rusty linear algebra talking.'	3 : 6-10 Hours
